X                     	Y                     	FLY0                  	FF                    	FLY                   	Exact                 	Error                 
-1.829999999999998E+00	+6.434075807825097E-01	+2.101523974490864E-01	-5.535774313394154E-03	+2.046166231356923E-01	+2.046164692667907E-01	+1.538689015645467E-07
-1.820000000000000E+00	+6.450364977651648E-01	+2.113628312118197E-01	-5.535742861290323E-03	+2.058270883505294E-01	+2.058272423021275E-01	+1.539515981641149E-07
-1.810000000000002E+00	+6.466743632249055E-01	+2.125846495365878E-01	-5.535711582000271E-03	+2.070489379545876E-01	+2.070487840953901E-01	+1.538591974659109E-07
-1.800000000000001E+00	+6.483212295975606E-01	+2.138167316681948E-01	-5.535680475516179E-03	+2.082810511926786E-01	+2.082812051437044E-01	+1.539510258163901E-07
-1.789999999999999E+00	+6.499771491394851E-01	+2.150604202149601E-01	-5.535649541830274E-03	+2.095247706731298E-01	+2.095246168239055E-01	+1.538492243047251E-07
-1.780000000000001E+00	+6.516421739029001E-01	+2.163145962114074E-01	-5.535618780934826E-03	+2.107789774304725E-01	+2.107791313813345E-01	+1.539508620029828E-07
-1.770000000000000E+00	+6.533163557102094E-01	+2.175806039492817E-01	-5.535588192822151E-03	+2.120450157564595E-01	+2.120448619175132E-01	+1.538389463040524E-07
-1.759999999999998E+00	+6.549997461272555E-01	+2.188573262030028E-01	-5.535557777484603E-03	+2.133217684255182E-01	+2.133219223766385E-01	+1.539511202963695E-07
-1.750000000000000E+00	+6.566923964354864E-01	+2.201461088941079E-01	-5.535527534914584E-03	+2.146105813591933E-01	+2.146104275308478E-01	+1.538283454782796E-07
-1.740000000000002E+00	+6.583943576029916E-01	+2.214458364774612E-01	-5.535497465104539E-03	+2.159103390123567E-01	+2.159104929641927E-01	+1.539518360016423E-07
-1.730000000000000E+00	+6.601056802543663E-01	+2.227578564406996E-01	-5.535467568046955E-03	+2.172223888726527E-01	+2.172222350552573E-01	+1.538173953485877E-07
-1.719999999999999E+00	+6.618264146393663E-01	+2.240810548490773E-01	-5.535437843734362E-03	+2.185456170053429E-01	+2.185457709583621E-01	+1.539530192218308E-07
-1.710000000000001E+00	+6.635566106003160E-01	+2.254167806815208E-01	-5.535408292159331E-03	+2.198813723893614E-01	+2.198812185832859E-01	+1.538060754868731E-07
-1.699999999999999E+00	+6.652963175382255E-01	+2.267639215320459E-01	-5.535378913314485E-03	+2.212285426187314E-01	+2.212286965734392E-01	+1.539547077600290E-07
-1.690000000000001E+00	+6.670455843775663E-01	+2.281238277839597E-01	-5.535349707192484E-03	+2.225884780767672E-01	+2.225883242824103E-01	+1.537943568608036E-07
-1.680000000000000E+00	+6.688044595296775E-01	+2.294953884656890E-01	-5.535320673786029E-03	+2.239600677919030E-01	+2.239602217488246E-01	+1.539569216557624E-07
-1.670000000000002E+00	+6.705729908547370E-01	+2.308799552647199E-01	-5.535291813087866E-03	+2.253446634516321E-01	+2.253445096694226E-01	+1.537822094388464E-07
-1.660000000000000E+00	+6.723512256222719E-01	+2.322764185356905E-01	-5.535263125090789E-03	+2.267411554105997E-01	+2.267413093702952E-01	+1.539596954092115E-07
-1.649999999999999E+00	+6.741392104701383E-01	+2.336861311555771E-01	-5.535234609787631E-03	+2.281508965457894E-01	+2.281507427761771E-01	+1.537696123765642E-07
-1.640000000000001E+00	+6.759369913619394E-01	+2.351079846818429E-01	-5.535206267171270E-03	+2.295727784146716E-01	+2.295729323777259E-01	+1.539630543334614E-07
-1.629999999999999E+00	+6.777446135428239E-01	+2.365433330504530E-01	-5.535178097234625E-03	+2.310081549532184E-01	+2.310080011966928E-01	+1.537565255949058E-07
-1.620000000000001E+00	+6.795621214936044E-01	+2.379910688818279E-01	-5.535150099970662E-03	+2.324559187818572E-01	+2.324560727488871E-01	+1.539670299033347E-07
-1.609999999999999E+00	+6.813895588831625E-01	+2.394525470231467E-01	-5.535122275372385E-03	+2.339174247477743E-01	+2.339172710048541E-01	+1.537429201448060E-07
-1.600000000000001E+00	+6.832269685190613E-01	+2.409266609999274E-01	-5.535094623432847E-03	+2.353915663764945E-01	+2.353917203481491E-01	+1.539716545650993E-07
-1.590000000000000E+00	+6.850743922963332E-01	+2.424147664040319E-01	-5.535067144145141E-03	+2.368796992598867E-01	+2.368795455311234E-01	+1.537287632746853E-07
-1.579999999999998E+00	+6.869318711443640E-01	+2.439157574886463E-01	-5.535039837502404E-03	+2.383807176511439E-01	+2.383808716281011E-01	+1.539769571567984E-07
